"CubeId";"rendopar"
"PublishingDate";"2025-09-01 14:30"

"Date";"d0";"Value"
"1988-04-25";"b3";"4.704"
"1988-04-25";"t1";"2.874"
"1988-04-25";"t2";"1.447"
"1988-04-26";"b0";
"1988-04-26";"b1";
"1988-04-26";"b2";
"1988-04-26";"b3";
"1988-04-26";"t1";
"1988-04-26";"t2";
"1988-04-27";"b0";
"1988-04-27";"b1";
"1988-04-27";"b2";
"1988-04-27";"b3";
"1988-04-27";"t1";
"1988-04-27";"t2";
"1988-04-28";"b0";
"1988-04-28";"b1";
"1988-04-28";"b2";
"1988-04-28";"b3";
"1988-04-28";"t1";
"1988-04-28";"t2";
"1988-04-29";"b0";"4.366"
"1988-04-29";"b1";"-2.631"
"1988-04-29";"b2";"0.034"
"1988-04-29";"b3";"2.527"
"1988-04-29";"t1";"3.046"
"1988-04-29";"t2";"1.131"
"1988-05-02";"b0";"4.33"
"1988-05-02";"b1";"-2.718"
"1988-05-02";"b2";"0.01"
"1988-05-02";"b3";"1.094"
"1988-05-02";"t1";"1.493"
"1988-05-02";"t2";"0.247"
"1988-05-03";"b0";
"1988-05-03";"b1";
"1988-05-03";"b2";
"1988-05-03";"b3";
"1988-05-03";"t1";
"1988-05-03";"t2";
"1988-05-04";"b0";
"1988-05-04";"b1";
"1988-05-04";"b2";
"1988-05-04";"b3";
"1988-05-04";"t1";
"1988-05-04";"t2";
"1988-05-05";"b0";
"1988-05-05";"b1";
"1988-05-05";"b2";
"1988-05-05";"b3";
"1988-05-05";"t1";
"1988-05-05";"t2";
"1988-05-06";"b0";
"1988-05-06";"b1";
"1988-05-06";"b2";
"1988-05-06";"b3";
"1988-05-06";"t1";
"1988-05-06";"t2";
"1988-05-09";"b0";"4.116"
"1988-05-09";"b1";"-2.935"
"1988-05-09";"b2";"-5.694"
"1988-05-09";"b3";"5.618"
"1988-05-09";"t1";"0.284"
"1988-05-09";"t2";"0.151"
"1988-05-10";"b0";
"1988-05-10";"b1";
"1988-05-10";"b2";
"1988-05-10";"b3";
"1988-05-10";"t1";
"1988-05-10";"t2";
"1988-05-11";"b0";
"1988-05-11";"b1";
"1988-05-11";"b2";
"1988-05-11";"b3";
"1988-05-11";"t1";
"1988-05-11";"t2";
"1988-05-12";"b0";
"1988-05-12";"b1";
"1988-05-12";"b2";
"1988-05-12";"b3";
"1988-05-12";"t1";
"1988-05-12";"t2";
"1988-05-13";"b0";
"1988-05-13";"b1";
"1988-05-13";"b2";
"1988-05-13";"b3";
"1988-05-13";"t1";
"1988-05-13";"t2";
"1988-05-16";"b0";"4.178"
"1988-05-16";"b1";"-2.874"
"1988-05-16";"b2";"-1.394"
"1988-05-16";"b3";"2.028"
"1988-05-16";"t1";"0.502"
"1988-05-16";"t2";"0.131"
"1988-05-17";"b0";
"1988-05-17";"b1";
"1988-05-17";"b2";
"1988-05-17";"b3";
"1988-05-17";"t1";
"1988-05-17";"t2";
"1988-05-18";"b0";
"1988-05-18";"b1";
"1988-05-18";"b2";
"1988-05-18";"b3";
"1988-05-18";"t1";
"1988-05-18";"t2";
"1988-05-19";"b0";
"1988-05-19";"b1";
"1988-05-19";"b2";
"1988-05-19";"b3";
"1988-05-19";"t1";
"1988-05-19";"t2";
"1988-05-20";"b0";
"1988-05-20";"b1";
"1988-05-20";"b2";
"1988-05-20";"b3";
"1988-05-20";"t1";
"1988-05-20";"t2";
"1988-05-23";"b0";
"1988-05-23";"b1";
"1988-05-23";"b2";
"1988-05-23";"b3";
"1988-05-23";"t1";
"1988-05-23";"t2";
"1988-05-24";"b0";"4.269"
"1988-05-24";"b1";"-2.657"
"1988-05-24";"b2";"0.206"
"1988-05-24";"b3";"1.636"
"1988-05-24";"t1";"0.996"
"1988-05-24";"t2";"0.122"
"1988-05-25";"b0";
"1988-05-25";"b1";
"1988-05-25";"b2";
"1988-05-25";"b3";
"1988-05-25";"t1";
"1988-05-25";"t2";
"1988-05-26";"b0";
"1988-05-26";"b1";
"1988-05-26";"b2";
"1988-05-26";"b3";
"1988-05-26";"t1";
"1988-05-26";"t2";
"1988-05-27";"b0";
"1988-05-27";"b1";
"1988-05-27";"b2";
"1988-05-27";"b3";
"1988-05-27";"t1";
"1988-05-27";"t2";
"1988-05-30";"b0";"4.226"
"1988-05-30";"b1";"-1.514"
"1988-05-30";"b2";"-2.809"
"1988-05-30";"b3";"0.048"
"1988-05-30";"t1";"0.401"
"1988-05-30";"t2";"1.329"
"1988-05-31";"b0";"4.311"
"1988-05-31";"b1";"-1.598"
"1988-05-31";"b2";"-1.742"
"1988-05-31";"b3";"-0.449"
"1988-05-31";"t1";"0.425"
"1988-05-31";"t2";"3.696"
"1988-06-01";"b0";
"1988-06-01";"b1";
"1988-06-01";"b2";
"1988-06-01";"b3";
"1988-06-01";"t1";
"1988-06-01";"t2";
"1988-06-02";"b0";
"1988-06-02";"b1";
"1988-06-02";"b2";
"1988-06-02";"b3";
"1988-06-02";"t1";
"1988-06-02";"t2";
"1988-06-03";"b0";
"1988-06-03";"b1";
"1988-06-03";"b2";
"1988-06-03";"b3";
"1988-06-03";"t1";
"1988-06-03";"t2";
"1988-06-06";"b0";"4.273"
"1988-06-06";"b1";"-2.292"
"1988-06-06";"b2";"-2.217"
"1988-06-06";"b3";"1.733"
"1988-06-06";"t1";"0.444"
"1988-06-06";"t2";"0.163"
"1988-06-07";"b0";
"1988-06-07";"b1";
"1988-06-07";"b2";
"1988-06-07";"b3";
"1988-06-07";"t1";
"1988-06-07";"t2";
"1988-06-08";"b0";
"1988-06-08";"b1";
"1988-06-08";"b2";
"1988-06-08";"b3";
"1988-06-08";"t1";
"1988-06-08";"t2";
"1988-06-09";"b0";
"1988-06-09";"b1";
"1988-06-09";"b2";
"1988-06-09";"b3";
"1988-06-09";"t1";
"1988-06-09";"t2";
"1988-06-10";"b0";
"1988-06-10";"b1";
"1988-06-10";"b2";
"1988-06-10";"b3";
"1988-06-10";"t1";
"1988-06-10";"t2";
"1988-06-13";"b0";"4.559"
"1988-06-13";"b1";"-2.212"
"1988-06-13";"b2";"-0.864"
"1988-06-13";"b3";"2.564"
"1988-06-13";"t1";"3.084"
"1988-06-13";"t2";"1.297"
"1988-06-14";"b0";
"1988-06-14";"b1";
"1988-06-14";"b2";
"1988-06-14";"b3";
"1988-06-14";"t1";
"1988-06-14";"t2";
"1988-06-15";"b0";
"1988-06-15";"b1";
"1988-06-15";"b2";
"1988-06-15";"b3";
"1988-06-15";"t1";
"1988-06-15";"t2";
"1988-06-16";"b0";
"1988-06-16";"b1";
"1988-06-16";"b2";
"1988-06-16";"b3";
"1988-06-16";"t1";
"1988-06-16";"t2";
"1988-06-17";"b0";
"1988-06-17";"b1";
"1988-06-17";"b2";
"1988-06-17";"b3";
"1988-06-17";"t1";
"1988-06-17";"t2";
"1988-06-20";"b0";"4.422"
"1988-06-20";"b1";"-1.892"
"1988-06-20";"b2";"-0.086"
"1988-06-20";"b3";"1.872"
"1988-06-20";"t1";"1.974"
"1988-06-20";"t2";"0.248"
"1988-06-21";"b0";
"1988-06-21";"b1";
"1988-06-21";"b2";
"1988-06-21";"b3";
"1988-06-21";"t1";
"1988-06-21";"t2";
"1988-06-22";"b0";
"1988-06-22";"b1";
"1988-06-22";"b2";
"1988-06-22";"b3";
"1988-06-22";"t1";
"1988-06-22";"t2";
"1988-06-23";"b0";
"1988-06-23";"b1";
"1988-06-23";"b2";
"1988-06-23";"b3";
"1988-06-23";"t1";
"1988-06-23";"t2";
"1988-06-24";"b0";
"1988-06-24";"b1";
"1988-06-24";"b2";
"1988-06-24";"b3";
"1988-06-24";"t1";
"1988-06-24";"t2";
"1988-06-27";"b0";"4.355"
"1988-06-27";"b1";"-2.13"
"1988-06-27";"b2";"-0.18"
"1988-06-27";"b3";"2.947"
"1988-06-27";"t1";"1.604"
"1988-06-27";"t2";"0.28"
"1988-06-28";"b0";
"1988-06-28";"b1";
"1988-06-28";"b2";
"1988-06-28";"b3";
"1988-06-28";"t1";
"1988-06-28";"t2";
"1988-06-29";"b0";
"1988-06-29";"b1";
"1988-06-29";"b2";
"1988-06-29";"b3";
"1988-06-29";"t1";
"1988-06-29";"t2";
"1988-06-30";"b0";"4.533"
"1988-06-30";"b1";"-1.335"
"1988-06-30";"b2";"-0.563"
"1988-06-30";"b3";"0.833"
"1988-06-30";"t1";"2.82"
"1988-06-30";"t2";"0.498"
"1988-07-01";"b0";
"1988-07-01";"b1";
"1988-07-01";"b2";
"1988-07-01";"b3";
"1988-07-01";"t1";
"1988-07-01";"t2";
"1988-07-04";"b0";"4.52"
"1988-07-04";"b1";"-1.685"
"1988-07-04";"b2";"-1.1"
"1988-07-04";"b3";"2.184"
"1988-07-04";"t1";"2.105"
"1988-07-04";"t2";"0.603"
"1988-07-05";"b0";
"1988-07-05";"b1";
"1988-07-05";"b2";
"1988-07-05";"b3";
"1988-07-05";"t1";
"1988-07-05";"t2";
"1988-07-06";"b0";
"1988-07-06";"b1";
"1988-07-06";"b2";
"1988-07-06";"b3";
"1988-07-06";"t1";
"1988-07-06";"t2";
"1988-07-07";"b0";
"1988-07-07";"b1";
"1988-07-07";"b2";
"1988-07-07";"b3";
"1988-07-07";"t1";
"1988-07-07";"t2";
"1988-07-08";"b0";
"1988-07-08";"b1";
"1988-07-08";"b2";
"1988-07-08";"b3";
"1988-07-08";"t1";
"1988-07-08";"t2";
"1988-07-11";"b0";"4.566"
"1988-07-11";"b1";"-1.549"
"1988-07-11";"b2";"0"
"1988-07-11";"b3";"2.977"
"1988-07-11";"t1";"4.233"
"1988-07-11";"t2";"0.353"
"1988-07-12";"b0";
"1988-07-12";"b1";
"1988-07-12";"b2";
"1988-07-12";"b3";
"1988-07-12";"t1";
"1988-07-12";"t2";
"1988-07-13";"b0";
"1988-07-13";"b1";
"1988-07-13";"b2";
"1988-07-13";"b3";
"1988-07-13";"t1";
"1988-07-13";"t2";
"1988-07-14";"b0";
"1988-07-14";"b1";
"1988-07-14";"b2";
"1988-07-14";"b3";
"1988-07-14";"t1";
"1988-07-14";"t2";
"1988-07-15";"b0";
"1988-07-15";"b1";
"1988-07-15";"b2";
"1988-07-15";"b3";
"1988-07-15";"t1";
"1988-07-15";"t2";
"1988-07-18";"b0";"4.467"
"1988-07-18";"b1";"-1.572"
"1988-07-18";"b2";"-0.041"
"1988-07-18";"b3";"4.313"
"1988-07-18";"t1";"3.041"
"1988-07-18";"t2";"0.329"
"1988-07-19";"b0";
"1988-07-19";"b1";
"1988-07-19";"b2";
"1988-07-19";"b3";
"1988-07-19";"t1";
"1988-07-19";"t2";
"1988-07-20";"b0";
"1988-07-20";"b1";
"1988-07-20";"b2";
"1988-07-20";"b3";
"1988-07-20";"t1";
"1988-07-20";"t2";
"1988-07-21";"b0";
"1988-07-21";"b1";
"1988-07-21";"b2";
"1988-07-21";"b3";
"1988-07-21";"t1";
"1988-07-21";"t2";
"1988-07-22";"b0";
"1988-07-22";"b1";
"1988-07-22";"b2";
"1988-07-22";"b3";
"1988-07-22";"t1";
"1988-07-22";"t2";
"1988-07-25";"b0";"4.366"
"1988-07-25";"b1";"-1.592"
"1988-07-25";"b2";"0.003"
"1988-07-25";"b3";"3.127"
"1988-07-25";"t1";"1.648"
"1988-07-25";"t2";"0.337"
"1988-07-26";"b0";
"1988-07-26";"b1";
"1988-07-26";"b2";
"1988-07-26";"b3";
"1988-07-26";"t1";
"1988-07-26";"t2";
"1988-07-27";"b0";
"1988-07-27";"b1";
"1988-07-27";"b2";
"1988-07-27";"b3";
"1988-07-27";"t1";
"1988-07-27";"t2";
"1988-07-28";"b0";
"1988-07-28";"b1";
"1988-07-28";"b2";
"1988-07-28";"b3";
"1988-07-28";"t1";
"1988-07-28";"t2";
"1988-07-29";"b0";"4.142"
"1988-07-29";"b1";"-1.49"
"1988-07-29";"b2";"-0.495"
"1988-07-29";"b3";"0.556"
"1988-07-29";"t1";"0.06"
"1988-07-29";"t2";"0.095"
"1988-08-01";"b0";
"1988-08-01";"b1";
"1988-08-01";"b2";
"1988-08-01";"b3";
"1988-08-01";"t1";
"1988-08-01";"t2";
"1988-08-02";"b0";"4.461"
"1988-08-02";"b1";"-1.809"
"1988-08-02";"b2";"-0.045"
"1988-08-02";"b3";"4.111"
"1988-08-02";"t1";"2.19"
"1988-08-02";"t2";"0.37"
"1988-08-03";"b0";
"1988-08-03";"b1";
"1988-08-03";"b2";
"1988-08-03";"b3";
"1988-08-03";"t1";
"1988-08-03";"t2";
"1988-08-04";"b0";
"1988-08-04";"b1";
"1988-08-04";"b2";
"1988-08-04";"b3";
"1988-08-04";"t1";
"1988-08-04";"t2";
"1988-08-05";"b0";
"1988-08-05";"b1";
"1988-08-05";"b2";
"1988-08-05";"b3";
"1988-08-05";"t1";
"1988-08-05";"t2";
"1988-08-08";"b0";"4.439"
"1988-08-08";"b1";"-1.97"
"1988-08-08";"b2";"-1.127"
"1988-08-08";"b3";"4.692"
"1988-08-08";"t1";"1.337"
"1988-08-08";"t2";"0.391"
"1988-08-09";"b0";
"1988-08-09";"b1";
"1988-08-09";"b2";
"1988-08-09";"b3";
"1988-08-09";"t1";
"1988-08-09";"t2";
"1988-08-10";"b0";
"1988-08-10";"b1";
"1988-08-10";"b2";
"1988-08-10";"b3";
"1988-08-10";"t1";
"1988-08-10";"t2";
"1988-08-11";"b0";
"1988-08-11";"b1";
"1988-08-11";"b2";
"1988-08-11";"b3";
"1988-08-11";"t1";
"1988-08-11";"t2";
"1988-08-12";"b0";
"1988-08-12";"b1";
"1988-08-12";"b2";
"1988-08-12";"b3";
"1988-08-12";"t1";
"1988-08-12";"t2";
"1988-08-15";"b0";"4.559"
"1988-08-15";"b1";"-2.518"
"1988-08-15";"b2";"-0.355"
